排名,学校名称,省市,类型,总分,学校性质
医28,遵义医科大学,贵州,医药,,
220,内蒙古农业大学,内蒙古,农业,175.5,
221,内蒙古师范大学,内蒙古,师范,175.2,
222,大连工业大学,辽宁,理工,175.0,
中医17,广西中医药大学,广西,中医药,,
223,石家庄铁道大学,河北,理工,174.7,
224,河南工业大学,河南,理工,174.5,
医29,湖北医药学院,湖北,医药,,
225,嘉兴大学,浙江,综合,173.9,
226,海南师范大学,海南,师范,173.6,
227,山西农业大学,山西,农业,173.3,
228,青岛农业大学,山东,农业,173.0,
中医18,福建中医药大学,福建,中医药,,
229,东北电力大学,吉林,理工,172.7,
229,浙江海洋大学,浙江,农业,172.7,
医30,内蒙古医科大学,内蒙古,医药,,
医31,贵州医科大学,贵州,医药,,
231,浙江科技大学,浙江,理工,172.6,
232,成都大学,四川,综合,172.2,
233,哈尔滨理工大学,黑龙江,理工,172.0,
234,上海工程技术大学,上海,理工,171.3,
财19,吉林财经大学,吉林,财经,,
235,西安石油大学,陕西,理工,170.7,
236,上海应用技术大学,上海,理工,170.1,
财21,重庆工商大学,重庆,财经,,
财20,广东财经大学,广东,财经,,
语8,西安外国语大学,陕西,语言,,
237,贵州师范大学,贵州,师范,169.7,
238,河北科技大学,河北,理工,169.3,
239,佛山大学,广东,理工,169.0,
240,青海师范大学,青海,师范,168.8,
241,甘肃农业大学,甘肃,农业,168.4,
语9,四川外国语大学,重庆,语言,,
242,东莞理工学院,广东,理工,168.3,
243,中国民航大学,天津,理工,167.6,
244,重庆理工大学,重庆,理工,167.3,
财22,北京物资学院,北京,财经,,
体3,首都体育学院,北京,体育,,
245,华北水利水电大学,河南,理工,167.2,
政7,中国刑事警察学院,辽宁,政法,,
246,武汉轻工大学,湖北,理工,166.9,
财23,河南财经政法大学,河南,财经,,
247,鲁东大学,山东,综合,166.8,
语10,大连外国语大学,辽宁,语言,,
248,赣南师范大学,江西,师范,166.0,
医32,海南医科大学,海南,医药,,
中医19,陕西中医药大学,陕西,中医药,,
249,山东建筑大学,山东,理工,165.1,
250,江汉大学,湖北,综合,164.8,
251,浙大城市学院,浙江,理工,164.7,
财24,河北经贸大学,河北,财经,,
政8,江苏警官学院,江苏,政法,,
252,聊城大学,山东,综合,164.2,
民4,广西民族大学,广西,民族,,
财25,湖南工商大学,湖南,财经,,
253,沈阳化工大学,辽宁,理工,163.8,
254,桂林理工大学,广西,理工,163.1,
255,成都信息工程大学,四川,理工,162.9,
256,西安工程大学,陕西,理工,162.6,
256,郑州轻工业大学,河南,理工,162.6,
医33,广东医科大学,广东,医药,,
财26,上海立信会计金融学院,上海,财经,,
258,安徽工程大学,安徽,理工,162.2,
258,西华师范大学,四川,师范,162.2,
医34,锦州医科大学,辽宁,医药,,
260,大连交通大学,辽宁,理工,162.0,
261,南京工程学院,江苏,理工,161.9,
262,上海海关学院,上海,综合,161.2,
263,辽宁石油化工大学,辽宁,理工,160.1,
264,沈阳理工大学,辽宁,理工,159.8,
265,绍兴文理学院,浙江,师范,158.6,
266,延安大学,陕西,综合,158.5,
中医20,河北中医药大学,河北,中医药,,
267,内蒙古工业大学,内蒙古,理工,158.1,
267,沈阳大学,辽宁,综合,158.1,
医35,蚌埠医科大学,安徽,医药,,
民5,大连民族大学,辽宁,民族,,
语11,浙江传媒学院,浙江,语言,,
269,厦门理工学院,福建,理工,157.4,
270,西华大学,四川,综合,157.3,
271,长春工业大学,吉林,理工,157.2,
财28,天津商业大学,天津,财经,,
财27,郑州航空工业管理学院,河南,财经,,
272,沈阳师范大学,辽宁,师范,155.4,
中医21,贵州中医药大学,贵州,中医药,,
273,大连大学,辽宁,综合,155.1,
273,华北理工大学,河北,综合,155.1,
医36,川北医学院,四川,医药,,
医37,沈阳医学院,辽宁,医药,,
275,安徽建筑大学,安徽,理工,154.8,
医38,广东药科大学,广东,医药,,
财29,湖北经济学院,湖北,财经,,
276,湖南工业大学,湖南,理工,154.7,
医39,桂林医学院,广西,医药,,
政9,中国人民警察大学,河北,政法,,
277,井冈山大学,江西,综合,154.0,
民6,西藏民族大学,西藏,民族,,
278,山西师范大学,山西,师范,153.6,
279,辽宁工程技术大学,辽宁,理工,153.3,
280,北京农学院,北京,农业,153.1,
281,浙大宁波理工学院,浙江,理工,152.8,
财30,贵州财经大学,贵州,财经,,
282,福建理工大学,福建,理工,151.9,
语12,浙江外国语学院,浙江,语言,,
283,常熟理工学院,江苏,理工,151.7,
284,中原工学院,河南,理工,151.6,
中医22,山西中医药大学,山西,中医药,,
语13,天津外国语大学,天津,语言,,
政11,浙江警察学院,浙江,政法,,
政10,中国劳动关系学院,北京,政法,,
285,合肥大学,安徽,理工,151.4,
政12,四川警察学院,四川,政法,,
286,重庆科技大学,重庆,理工,151.0,
287,渤海大学,辽宁,综合,150.8,
288,云南农业大学,云南,农业,150.5,
289,台州学院,浙江,综合,150.4,
290,大理大学,云南,综合,150.3,
291,太原科技大学,山西,理工,150.0,
292,黑龙江八一农垦大学,黑龙江,农业,149.8,
体4,武汉体育学院,湖北,体育,,
293,宁波工程学院,浙江,理工,149.3,
中医23,西藏藏医药大学,西藏,中医药,,
中医23,云南中医药大学,云南,中医药,,
294,深圳技术大学,广东,综合,149.2,
政13,南京警察学院,江苏,政法,,
财31,西安财经大学,陕西,财经,,
财31,云南财经大学,云南,财经,,
295,河北工程大学,河北,理工,148.6,
296,辽宁科技大学,辽宁,理工,148.4,
297,北京联合大学,北京,综合,148.3,
297,北京石油化工学院,北京,理工,148.3,
民8,北方民族大学,宁夏,民族,,
医40,杭州医学院,浙江,医药,,
民7,西北民族大学,甘肃,民族,,
299,新疆农业大学,新疆,农业,148.0,
民9,贵州民族大学,贵州,民族,,
医41,皖南医学院,安徽,医药,,
300,吉首大学,湖南,综合,147.9,
300,辽宁工业大学,辽宁,理工,147.9,
民10,云南民族大学,云南,民族,,
302,北京印刷学院,北京,理工,147.7,
303,闽南师范大学,福建,师范,147.5,
体5,沈阳体育学院,辽宁,体育,,
304,淮阴工学院,江苏,理工,146.5,
医42,承德医学院,河北,医药,,
305,闽江学院,福建,理工,146.4,
306,广东海洋大学,广东,农业,145.7,
财33,哈尔滨商业大学,黑龙江,财经,,
307,信阳师范大学,河南,师范,145.6,
308,河北地质大学,河北,综合,145.5,
309,北华大学,吉林,综合,144.9,
310,吉林师范大学,吉林,师范,144.2,
中医25,甘肃中医药大学,甘肃,中医药,,
311,临沂大学,山东,综合,143.9,
312,淮北师范大学,安徽,师范,143.7,
313,大连海洋大学,辽宁,农业,143.6,
314,南宁师范大学,广西,师范,143.5,
315,盐城工学院,江苏,理工,143.4,
316,吉林建筑大学,吉林,理工,143.3,
317,无锡学院,江苏,综合,142.7,
318,塔里木大学,新疆,综合,142.6,
319,广东技术师范大学,广东,师范,142.5,
320,长沙学院,湖南,理工,142.2,
321,景德镇陶瓷大学,江西,理工,142.0,
322,河南科技学院,河南,师范,141.9,
322,江苏海洋大学,江苏,理工,141.9,
民11,青海民族大学,青海,民族,,
财34,山东工商学院,山东,财经,,
324,天津城建大学,天津,理工,141.5,
325,湖北师范大学,湖北,师范,141.3,
326,贵州师范学院,贵州,师范,141.2,
医43,赣南医科大学,江西,医药,,
医43,上海健康医学院,上海,医药,,
327,江西科技师范大学,江西,师范,141.0,
政14,甘肃政法大学,甘肃,政法,,
328,西南林业大学,云南,林业,140.9,
329,五邑大学,广东,综合,140.8,
医45,济宁医学院,山东,医药,,
330,内蒙古科技大学,内蒙古,综合,140.0,
331,南京晓庄学院,江苏,师范,139.9,
332,长春师范大学,吉林,师范,139.8,
333,长江师范学院,重庆,师范,139.2,
333,重庆文理学院,重庆,综合,139.2,
语14,中华女子学院,北京,语言,,
财35,内蒙古财经大学,内蒙古,财经,,
335,新疆师范大学,新疆,师范,139.1,
336,安庆师范大学,安徽,师范,138.9,
336,淮阴师范学院,江苏,师范,138.9,
体6,天津体育学院,天津,体育,,
338,浙江万里学院,浙江,理工,138.8,
339,江苏理工学院,江苏,理工,138.6,
340,上海电机学院,上海,理工,138.4,
341,上海第二工业大学,上海,理工,137.7,
342,四川轻化工大学,四川,理工,137.5,
政15,北京警察学院,北京,政法,,
343,常州工学院,江苏,理工,137.3,
体7,成都体育学院,四川,体育,,
财36,上海商学院,上海,财经,,
344,湖南理工学院,湖南,理工,136.7,
医46,成都医学院,四川,医药,,
